address,solution_found
0xdD4D2A6a2D5C78432Ae8f93CF9146F5DbCCD56bc,POP PUSH 40 MLOAD DUP1 PUSH 40 ADD PUSH 40 MSTORE PUSH 8 DUP2 MSTORE PUSH 4d7963656c69756d PUSH c0 SHL DUP1 DUP3 PUSH 20 ADD MSTORE PUSH 40 MLOAD SWAP1 DUP2 PUSH 40 ADD PUSH 40 MSTORE PUSH 8 DUP3 MSTORE DUP2 PUSH 20 ADD MSTORE PUSH 3 PUSH [tag] 5 DUP4 PUSH 3 PUSH [tag] 6
0xdD4D2A6a2D5C78432Ae8f93CF9146F5DbCCD56bc,PUSH 40 MLOAD DUP1 PUSH 64 ADD SWAP1 PUSH 391434e3 PUSH e2 SHL DUP2 MSTORE PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP7 AND DUP2 PUSH 4 ADD MSTORE DUP3 DUP2 PUSH 24 ADD MSTORE DUP4 SWAP1 PUSH 44 ADD MSTORE PUSH [tag] 21
0xdD4D2A6a2D5C78432Ae8f93CF9146F5DbCCD56bc,PUSH 40 MLOAD SWAP2 PUSH 20 DUP3 PUSH 1f ADD DIV PUSH 20 MUL PUSH 20 ADD DUP4 ADD PUSH 40 MSTORE DUP2 DUP4 MSTORE SWAP1 DUP2 SWAP2 DUP4 PUSH 20 ADD SWAP1 PUSH [tag] 56 DUP2 SLOAD PUSH [tag] 55
0xdD4D2A6a2D5C78432Ae8f93CF9146F5DbCCD56bc,PUSH 1 PUSH 20 MSTORE PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP4 DUP2 AND PUSH0 MSTORE PUSH 40 PUSH0 KECCAK256 PUSH 20 MSTORE DUP3 AND PUSH0 MSTORE PUSH 40 PUSH0 KECCAK256 SLOAD PUSH0 NOT DUP2 LT ISZERO PUSH [tag] 94
0xdD4D2A6a2D5C78432Ae8f93CF9146F5DbCCD56bc,PUSH 40 MLOAD DUP1 PUSH 64 ADD SWAP1 PUSH 7dc7a0d9 PUSH e1 SHL DUP2 MSTORE PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP6 AND DUP2 PUSH 4 ADD MSTORE DUP3 DUP2 PUSH 24 ADD MSTORE DUP4 SWAP1 PUSH 44 ADD MSTORE
0xdD4D2A6a2D5C78432Ae8f93CF9146F5DbCCD56bc,PUSH 1 PUSH 20 MSTORE PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP1 DUP6 AND PUSH0 MSTORE PUSH 40 PUSH0 KECCAK256 PUSH 20 MSTORE DUP4 AND PUSH0 MSTORE DUP2 PUSH 40 PUSH0 KECCAK256 SSTORE DUP1 ISZERO PUSH [tag] 94
0xdD4D2A6a2D5C78432Ae8f93CF9146F5DbCCD56bc,PUSH 40 MLOAD DUP1 PUSH 64 ADD SWAP1 PUSH 391434e3 PUSH e2 SHL DUP2 MSTORE PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP7 AND DUP2 PUSH 4 ADD MSTORE DUP3 DUP2 PUSH 24 ADD MSTORE DUP4 SWAP1 PUSH 44 ADD MSTORE PUSH [tag] 92
0xd116102a7e0ff4a9535dc134b60dd3f731aa6808,PUSH 40 MLOAD DUP1 PUSH 84 ADD SWAP1 PUSH 461bcd PUSH e5 SHL DUP2 MSTORE PUSH 20 DUP2 PUSH 4 ADD MSTORE PUSH 28 DUP2 PUSH 24 ADD MSTORE PUSH 5061796d656e7420746f6b656e2063616e6e6f7420626520746865207a65726f DUP2 PUSH 44 ADD MSTORE PUSH 2061646472657373 PUSH c0 SHL SWAP1 PUSH 64 ADD MSTORE PUSH [tag] 8
0xd116102a7e0ff4a9535dc134b60dd3f731aa6808,PUSH 40 MLOAD DUP1 PUSH 84 ADD SWAP1 PUSH 461bcd PUSH e5 SHL DUP2 MSTORE PUSH 20 DUP2 PUSH 4 ADD MSTORE PUSH 28 DUP2 PUSH 24 ADD MSTORE PUSH 5061796d656e7420746f6b656e2063616e6e6f7420626520746865207a65726f DUP2 PUSH 44 ADD MSTORE PUSH 2061646472657373 PUSH c0 SHL SWAP1 PUSH 64 ADD MSTORE
0xd116102a7e0ff4a9535dc134b60dd3f731aa6808,PUSH 40 MLOAD DUP1 PUSH 84 ADD SWAP1 PUSH 461bcd PUSH e5 SHL DUP2 MSTORE PUSH 20 DUP2 PUSH 4 ADD MSTORE PUSH 35 DUP2 PUSH 24 ADD MSTORE PUSH 4e6577206d6178206e6f646573206d7573742062652067726561746572207468 DUP2 PUSH 44 ADD MSTORE PUSH 185b881b9bd9195cc8185b1c9958591e481cdbdb19 PUSH 5a SHL SWAP1 PUSH 64 ADD MSTORE PUSH [tag] 95
0xd116102a7e0ff4a9535dc134b60dd3f731aa6808,PUSH 40 MLOAD DUP1 PUSH 84 ADD SWAP1 PUSH 461bcd PUSH e5 SHL DUP2 MSTORE PUSH 20 DUP2 PUSH 4 ADD MSTORE PUSH 24 DUP2 PUSH 24 ADD MSTORE PUSH 4e6577206f776e65722063616e6e6f7420626520746865207a65726f20616464 DUP2 PUSH 44 ADD MSTORE PUSH 72657373 PUSH e0 SHL SWAP1 PUSH 64 ADD MSTORE PUSH [tag] 95
0xd116102a7e0ff4a9535dc134b60dd3f731aa6808,PUSH 40 MLOAD DUP1 PUSH 84 ADD SWAP1 PUSH 461bcd PUSH e5 SHL DUP2 MSTORE PUSH 20 DUP2 PUSH 4 ADD MSTORE PUSH 21 DUP2 PUSH 24 ADD MSTORE PUSH 4e6f6465207072696365206d7573742062652067726561746572207468616e20 DUP2 PUSH 44 ADD MSTORE PUSH 3 PUSH fc SHL SWAP1 PUSH 64 ADD MSTORE PUSH [tag] 95
0xd116102a7e0ff4a9535dc134b60dd3f731aa6808,PUSH 1 PUSH 1 PUSH a0 SHL SUB PUSH 4 SLOAD AND PUSH 1 SLOAD DUP2 PUSH 70a08231 PUSH 40 MLOAD DUP1 PUSH 24 ADD SWAP1 DUP3 PUSH e0 SHL DUP2 MSTORE CALLER SWAP1 PUSH 4 ADD MSTORE PUSH 20 PUSH 40 MLOAD DUP1 DUP4 SUB DUP2 DUP7
0xd116102a7e0ff4a9535dc134b60dd3f731aa6808,PUSH 1 SLOAD PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP3 AND PUSH dd62ed3e PUSH 40 MLOAD DUP1 PUSH 44 ADD SWAP1 PUSH 6eb1769f PUSH e1 SHL DUP2 MSTORE CALLER DUP2 PUSH 4 ADD MSTORE ADDRESS SWAP1 PUSH 24 ADD MSTORE PUSH 20 PUSH 40 MLOAD DUP1 DUP4 SUB DUP2 DUP7
0xd116102a7e0ff4a9535dc134b60dd3f731aa6808,PUSH 40 MLOAD DUP1 PUSH 64 ADD SWAP3 PUSH 1 PUSH 1 PUSH e0 SHL SUB NOT DUP6 PUSH e0 SHL AND DUP3 MSTORE PUSH 1 PUSH 1 PUSH a0 SHL SUB SWAP1 DUP2 AND DUP3 PUSH 4 ADD MSTORE SWAP1 SWAP2 AND DUP2 PUSH 24 ADD MSTORE PUSH 1 SLOAD SWAP1 PUSH 44 ADD MSTORE PUSH 20 PUSH 40 MLOAD DUP1 DUP4 SUB DUP2 PUSH0 DUP8
0xdcc800545f23bed5ae98c4c4ba93bea354c137f8,PUSH 40 MLOAD PUSH 461bcd PUSH e5 SHL DUP2 MSTORE PUSH 20 DUP2 PUSH 4 ADD MSTORE PUSH 5 DUP2 PUSH 24 ADD MSTORE PUSH 4753303331 PUSH d8 SHL DUP2 PUSH 44 ADD MSTORE PUSH 40 MLOAD DUP1 SWAP1 SWAP2 PUSH 64 ADD SUB SWAP1
0xd809de4c2ad5c64b58b1a760b864f79b833a8b89,PUSH 40 MLOAD DUP1 PUSH 84 ADD SWAP1 PUSH 461bcd PUSH e5 SHL DUP2 MSTORE PUSH 20 DUP2 PUSH 4 ADD MSTORE PUSH 21 DUP2 PUSH 24 ADD MSTORE PUSH 4465706f736974206d7573742062652067726561746572207468616e207a6572 DUP2 PUSH 44 ADD MSTORE PUSH 6f PUSH f8 SHL SWAP1 PUSH 64 ADD MSTORE PUSH [tag] 38
