contract,solution_found
0xb85B698db21Ac477Fbc6CBab927E0cf6D3Bb0cb1,PUSH 1 PUSH 1 PUSH a0 SHL SUB SWAP2 DUP3 AND PUSH0 SWAP1 DUP2 MSTORE PUSH 5 PUSH 20 SWAP1 DUP2 MSTORE PUSH 40 DUP1 DUP4 KECCAK256 SWAP4 SWAP1 SWAP5 AND DUP3 MSTORE SWAP2 SWAP1 SWAP2 MSTORE KECCAK256 SLOAD SWAP1
0xb85B698db21Ac477Fbc6CBab927E0cf6D3Bb0cb1,DUP1 PUSH 1f ADD PUSH 20 DUP1 SWAP2 DIV MUL PUSH 20 ADD PUSH 40 MLOAD SWAP1 DUP2 ADD PUSH 40 MSTORE DUP1 SWAP3 SWAP2 SWAP1 DUP2 DUP2 MSTORE PUSH 20 ADD DUP3 DUP1 SLOAD PUSH [tag] 70 SWAP1 PUSH [tag] 69
0xb85B698db21Ac477Fbc6CBab927E0cf6D3Bb0cb1,PUSH 40 MLOAD PUSH e6a43905 PUSH e0 SHL DUP2 MSTORE PUSH c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 PUSH 4 DUP3 ADD MSTORE ADDRESS PUSH 24 DUP3 ADD MSTORE PUSH0 SWAP1 PUSH 5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f SWAP1 PUSH e6a43905 SWAP1 PUSH 44 ADD PUSH 20 PUSH 40 MLOAD DUP1 DUP4 SUB DUP2 DUP7
0xb85B698db21Ac477Fbc6CBab927E0cf6D3Bb0cb1,PUSH 40 MLOAD PUSH 461bcd PUSH e5 SHL DUP2 MSTORE PUSH 20 PUSH 4 DUP3 ADD MSTORE PUSH 24 DUP1 DUP3 ADD MSTORE PUSH 45524332303a20617070726f76652066726f6d20746865207a65726f20616464 PUSH 44 DUP3 ADD MSTORE PUSH 72657373 PUSH e0 SHL PUSH 64 DUP3 ADD MSTORE PUSH 84 ADD
0xb85B698db21Ac477Fbc6CBab927E0cf6D3Bb0cb1,PUSH 40 MLOAD PUSH 461bcd PUSH e5 SHL DUP2 MSTORE PUSH 20 PUSH 4 DUP3 ADD MSTORE PUSH 22 PUSH 24 DUP3 ADD MSTORE PUSH 45524332303a20617070726f766520746f20746865207a65726f206164647265 PUSH 44 DUP3 ADD MSTORE PUSH 7373 PUSH f0 SHL PUSH 64 DUP3 ADD MSTORE PUSH 84 ADD PUSH [tag] 116
0xb85B698db21Ac477Fbc6CBab927E0cf6D3Bb0cb1,PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP4 DUP2 AND PUSH0 DUP2 DUP2 MSTORE PUSH 5 PUSH 20 SWAP1 DUP2 MSTORE PUSH 40 DUP1 DUP4 KECCAK256 SWAP5 DUP8 AND DUP1 DUP5 MSTORE SWAP5 DUP3 MSTORE SWAP2 DUP3 SWAP1 KECCAK256 DUP6 SWAP1 SSTORE SWAP1 MLOAD DUP5 DUP2 MSTORE PUSH 8c5be1e5ebec7d5bd14f71427d1e84f3dd0314c0f7b2291e5b200ac8c7c3b925 SWAP2 ADD PUSH 40 MLOAD DUP1 SWAP2 SUB SWAP1
0xb85B698db21Ac477Fbc6CBab927E0cf6D3Bb0cb1,PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP4 DUP2 AND PUSH0 SWAP1 DUP2 MSTORE PUSH 5 PUSH 20 SWAP1 DUP2 MSTORE PUSH 40 DUP1 DUP4 KECCAK256 SWAP4 DUP7 AND DUP4 MSTORE SWAP3 SWAP1 MSTORE KECCAK256 SLOAD PUSH0 NOT DUP2 EQ PUSH [tag] 128
0xb85B698db21Ac477Fbc6CBab927E0cf6D3Bb0cb1,PUSH 40 MLOAD PUSH 461bcd PUSH e5 SHL DUP2 MSTORE PUSH 20 PUSH 4 DUP3 ADD MSTORE PUSH 26 PUSH 24 DUP3 ADD MSTORE PUSH 45524332303a207472616e7366657220616d6f756e7420657863656564732062 PUSH 44 DUP3 ADD MSTORE PUSH 616c616e6365 PUSH d0 SHL PUSH 64 DUP3 ADD MSTORE PUSH 84 ADD PUSH [tag] 116
0xb85B698db21Ac477Fbc6CBab927E0cf6D3Bb0cb1,PUSH 40 MLOAD PUSH 461bcd PUSH e5 SHL DUP2 MSTORE PUSH 20 PUSH 4 DUP3 ADD MSTORE PUSH 25 PUSH 24 DUP3 ADD MSTORE PUSH 45524332303a207472616e736665722066726f6d20746865207a65726f206164 PUSH 44 DUP3 ADD MSTORE PUSH 6472657373 PUSH d8 SHL PUSH 64 DUP3 ADD MSTORE PUSH 84 ADD PUSH [tag] 116
0xb85B698db21Ac477Fbc6CBab927E0cf6D3Bb0cb1,PUSH 40 MLOAD PUSH 461bcd PUSH e5 SHL DUP2 MSTORE PUSH 20 PUSH 4 DUP3 ADD MSTORE PUSH 23 PUSH 24 DUP3 ADD MSTORE PUSH 45524332303a207472616e7366657220746f20746865207a65726f2061646472 PUSH 44 DUP3 ADD MSTORE PUSH 657373 PUSH e8 SHL PUSH 64 DUP3 ADD MSTORE PUSH 84 ADD PUSH [tag] 116
0xb85B698db21Ac477Fbc6CBab927E0cf6D3Bb0cb1,PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP1 DUP7 AND PUSH0 SWAP1 DUP2 MSTORE PUSH 4 PUSH 20 MSTORE PUSH 40 DUP1 DUP3 KECCAK256 SWAP4 SWAP1 SWAP4 SSTORE SWAP1 DUP6 AND DUP2 MSTORE KECCAK256 SLOAD PUSH [tag] 142 SWAP1 DUP4 SWAP1 PUSH [tag] 143
0xb85B698db21Ac477Fbc6CBab927E0cf6D3Bb0cb1,PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP1 DUP6 AND PUSH0 DUP2 DUP2 MSTORE PUSH 4 PUSH 20 MSTORE PUSH 40 SWAP1 DUP2 SWAP1 KECCAK256 SWAP4 SWAP1 SWAP4 SSTORE SWAP2 MLOAD SWAP1 DUP7 AND SWAP1 PUSH ddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef SWAP1 PUSH [tag] 144 SWAP1 DUP7 DUP2 MSTORE PUSH 20 ADD SWAP1
0xfebd7e6501837282119b904c2086cf4e5e9d4a98,POP PUSH 40 DUP1 MLOAD DUP1 DUP3 ADD DUP3 MSTORE PUSH 7 DUP2 MSTORE PUSH 4d797374657279 PUSH c8 SHL PUSH 20 DUP1 DUP4 ADD SWAP2 SWAP1 SWAP2 MSTORE DUP3 MLOAD DUP1 DUP5 ADD SWAP1 SWAP4 MSTORE PUSH a DUP4 MSTORE PUSH 3430344d797374657279 PUSH b0 SHL SWAP1 DUP4 ADD MSTORE SWAP1 PUSH 12 PUSH 5dc CALLER DUP1 DUP1 PUSH [tag] 10
0xfebd7e6501837282119b904c2086cf4e5e9d4a98,PUSH0 DUP1 SLOAD PUSH 1 PUSH 1 PUSH a0 SHL SUB NOT AND PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP4 AND SWAP1 DUP2 OR DUP3 SSTORE PUSH 40 MLOAD SWAP1 SWAP2 SWAP1 PUSH 8be0079c531659141344cd1fd0a4f28419497f9722a3daafe3b4186f6b6457e0 SWAP1 DUP3 SWAP1
0xfebd7e6501837282119b904c2086cf4e5e9d4a98,PUSH a0 MSTORE PUSH 40 MLOAD PUSH 64e329cb PUSH e1 SHL DUP2 MSTORE ADDRESS PUSH 4 DUP3 ADD MSTORE PUSH c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 PUSH 24 DUP3 ADD MSTORE PUSH 5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f SWAP1 PUSH c9c65396 SWAP1 PUSH 44 ADD PUSH 20 PUSH 40 MLOAD DUP1 DUP4 SUB DUP2 PUSH0 DUP8
0xfebd7e6501837282119b904c2086cf4e5e9d4a98,PUSH 1 PUSH 1 PUSH a0 SHL SUB AND PUSH c0 MSTORE POP POP CALLER PUSH0 SWAP1 DUP2 MSTORE PUSH b PUSH 20 SWAP1 DUP2 MSTORE PUSH 40 SWAP2 DUP3 SWAP1 KECCAK256 PUSH 3635c9adc5dea00000 SWAP1 SSTORE DUP2 MLOAD PUSH 60 DUP2 ADD SWAP1 SWAP3 MSTORE PUSH 36 DUP1 DUP4 MSTORE SWAP2 SWAP5 POP SWAP1 SWAP3 POP PUSH data 7432e4887af2a5b1e989d8c8bb69a60055e212b7ca53623491355d4a8b274b8e SWAP2 POP DUP4 ADD
0xfebd7e6501837282119b904c2086cf4e5e9d4a98,DUP1 PUSH 1f ADD PUSH 20 DUP1 SWAP2 DIV MUL PUSH 20 ADD PUSH 40 MLOAD SWAP1 DUP2 ADD PUSH 40 MSTORE DUP1 SWAP3 SWAP2 SWAP1 DUP2 DUP2 MSTORE PUSH 20 ADD DUP3 DUP1 SLOAD PUSH [tag] 136 SWAP1 PUSH [tag] 135
0xfebd7e6501837282119b904c2086cf4e5e9d4a98,POP PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP2 AND PUSH0 SWAP1 DUP2 MSTORE PUSH e PUSH 20 SWAP1 DUP2 MSTORE PUSH 40 DUP1 DUP4 KECCAK256 CALLER DUP5 MSTORE SWAP1 SWAP2 MSTORE SWAP1 KECCAK256 SLOAD PUSH ff AND ISZERO
0xfebd7e6501837282119b904c2086cf4e5e9d4a98,PUSH0 DUP4 DUP2 MSTORE PUSH d PUSH 20 SWAP1 DUP2 MSTORE PUSH 40 SWAP2 DUP3 SWAP1 KECCAK256 DUP1 SLOAD PUSH 1 PUSH 1 PUSH a0 SHL SUB NOT AND PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP9 DUP2 AND SWAP2 DUP3 OR SWAP1 SWAP3 SSTORE SWAP3 MLOAD DUP7 DUP2 MSTORE SWAP1 DUP5 AND SWAP2 PUSH 8c5be1e5ebec7d5bd14f71427d1e84f3dd0314c0f7b2291e5b200ac8c7c3b925 SWAP2 ADD PUSH 40 MLOAD DUP1 SWAP2 SUB SWAP1
0xfebd7e6501837282119b904c2086cf4e5e9d4a98,CALLER PUSH0 DUP2 DUP2 MSTORE PUSH c PUSH 20 SWAP1 DUP2 MSTORE PUSH 40 DUP1 DUP4 KECCAK256 PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP9 AND DUP1 DUP6 MSTORE SWAP1 DUP4 MSTORE SWAP3 DUP2 SWAP1 KECCAK256 DUP7 SWAP1 SSTORE MLOAD DUP6 DUP2 MSTORE SWAP2 SWAP3 SWAP2 PUSH 8c5be1e5ebec7d5bd14f71427d1e84f3dd0314c0f7b2291e5b200ac8c7c3b925 SWAP2 ADD PUSH 40 MLOAD DUP1 SWAP2 SUB SWAP1
0xfebd7e6501837282119b904c2086cf4e5e9d4a98,POP PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP4 AND PUSH0 SWAP1 DUP2 MSTORE PUSH e PUSH 20 SWAP1 DUP2 MSTORE PUSH 40 DUP1 DUP4 KECCAK256 CALLER DUP5 MSTORE SWAP1 SWAP2 MSTORE SWAP1 KECCAK256 SLOAD PUSH ff AND ISZERO
0xfebd7e6501837282119b904c2086cf4e5e9d4a98,PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP1 DUP5 AND PUSH0 DUP2 DUP2 MSTORE PUSH b PUSH 20 SWAP1 DUP2 MSTORE PUSH 40 DUP1 DUP4 KECCAK256 DUP1 SLOAD SWAP1 SWAP7 ADD SWAP1 SWAP6 SSTORE DUP6 DUP3 MSTORE PUSH f DUP2 MSTORE DUP5 DUP3 KECCAK256 DUP1 SLOAD PUSH 1 PUSH 1 PUSH a0 SHL SUB NOT SWAP1 DUP2 AND SWAP1 SWAP5 OR SWAP1 SSTORE PUSH d DUP2 MSTORE DUP5 DUP3 KECCAK256 DUP1 SLOAD SWAP1 SWAP4 AND SWAP1 SWAP3 SSTORE SWAP2 DUP7 AND DUP3 MSTORE PUSH 10 SWAP1 MSTORE SWAP1 DUP2 KECCAK256 DUP1 SLOAD PUSH [tag] 160 SWAP1 PUSH 1 SWAP1 PUSH [tag] 158
0xfebd7e6501837282119b904c2086cf4e5e9d4a98,PUSH0 SWAP2 DUP3 MSTORE PUSH 20 DUP1 DUP4 KECCAK256 SWAP1 SWAP2 ADD SLOAD PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP8 AND DUP4 MSTORE PUSH 10 DUP3 MSTORE PUSH 40 DUP1 DUP5 KECCAK256 DUP7 DUP6 MSTORE PUSH 11 SWAP1 SWAP4 MSTORE SWAP1 SWAP3 KECCAK256 SLOAD DUP2 SLOAD SWAP3 SWAP4 POP DUP4 SWAP3 DUP2 LT PUSH [tag] 166
0xfebd7e6501837282119b904c2086cf4e5e9d4a98,PUSH0 SWAP2 DUP3 MSTORE PUSH 20 DUP1 DUP4 KECCAK256 SWAP1 SWAP2 ADD SWAP3 SWAP1 SWAP3 SSTORE PUSH 1 PUSH 1 PUSH a0 SHL SUB DUP7 AND DUP2 MSTORE PUSH 10 SWAP1 SWAP2 MSTORE PUSH 40 SWAP1 KECCAK256 DUP1 SLOAD DUP1 PUSH [tag] 169
